Platform,qtr,Forecast_3m
CSPBU_Fabric Interconnect,Q4FY21,3460
CSPBU_Fabric Interconnect,Q4FY22,3146
CSPBU_Fiber Channel over Etherne,Q1FY22,198
CSPBU_Fiber Channel over Etherne,Q2FY21,151
CSPBU_Fiber Channel over Etherne,Q2FY22,213
CSPBU_Fiber Channel over Etherne,Q3FY21,125
CSPBU_Fiber Channel over Etherne,Q3FY22,191
CSPBU_Fiber Channel over Etherne,Q4FY21,107
CSPBU_Fiber Channel over Etherne,Q4FY22,147
CSPBU_HDD,Q1FY22,143270
CSPBU_HDD,Q2FY21,119663
CSPBU_HDD,Q2FY22,156070
CSPBU_HDD,Q3FY21,110475
CSPBU_HDD,Q3FY22,120253
CSPBU_HDD,Q4FY21,144442
CSPBU_HDD,Q4FY22,101782
CSPBU_Interposer board,Q1FY22,30114
CSPBU_Interposer board,Q2FY21,21980
CSPBU_Interposer board,Q2FY22,26608
CSPBU_Interposer board,Q3FY21,31645
CSPBU_Interposer board,Q3FY22,26463
CSPBU_Interposer board,Q4FY21,23904
CSPBU_Interposer board,Q4FY22,23337
CSPBU_L2 Daughter Card,Q1FY22,152982
CSPBU_L2 Daughter Card,Q2FY21,167917
CSPBU_L2 Daughter Card,Q2FY22,103395
CSPBU_L2 Daughter Card,Q3FY21,154984
CSPBU_L2 Daughter Card,Q3FY22,111900
CSPBU_L2 Daughter Card,Q4FY21,161949
CSPBU_L2 Daughter Card,Q4FY22,136380
CSPBU_Memory 128GB,Q1FY22,18144
CSPBU_Memory 128GB,Q2FY21,5797
CSPBU_Memory 128GB,Q2FY22,21250
CSPBU_Memory 128GB,Q3FY21,9628
CSPBU_Memory 128GB,Q3FY22,30877
CSPBU_Memory 128GB,Q4FY21,11248
CSPBU_Memory 128GB,Q4FY22,28975
CSPBU_Memory 16GB,Q1FY22,126396
CSPBU_Memory 16GB,Q2FY21,97700
CSPBU_Memory 16GB,Q2FY22,108593
CSPBU_Memory 16GB,Q3FY21,95029
CSPBU_Memory 16GB,Q3FY22,95539
CSPBU_Memory 16GB,Q4FY21,89139
CSPBU_Memory 16GB,Q4FY22,77521
CSPBU_Memory 256GB,Q1FY22,360
CSPBU_Memory 256GB,Q2FY21,345
CSPBU_Memory 256GB,Q2FY22,934
CSPBU_Memory 256GB,Q3FY21,363
CSPBU_Memory 256GB,Q3FY22,764
CSPBU_Memory 256GB,Q4FY21,547
CSPBU_Memory 256GB,Q4FY22,885
CSPBU_Memory 32GB,Q1FY22,249012
CSPBU_Memory 32GB,Q2FY21,188788
CSPBU_Memory 32GB,Q2FY22,211255
CSPBU_Memory 32GB,Q3FY21,200858
CSPBU_Memory 32GB,Q3FY22,179965
CSPBU_Memory 32GB,Q4FY21,212590
CSPBU_Memory 32GB,Q4FY22,159247
CSPBU_Memory 512GB,Q4FY21,4
CSPBU_Memory 64GB,Q1FY22,252411
CSPBU_Memory 64GB,Q2FY21,182258
CSPBU_Memory 64GB,Q2FY22,275287
CSPBU_Memory 64GB,Q3FY21,204118
CSPBU_Memory 64GB,Q3FY22,278666
CSPBU_Memory 64GB,Q4FY21,204237
CSPBU_Memory 64GB,Q4FY22,191424
CSPBU_NVMe Cable,Q1FY22,84975
CSPBU_NVMe Cable,Q2FY21,40330
CSPBU_NVMe Cable,Q2FY22,69596
CSPBU_NVMe Cable,Q3FY21,43939
CSPBU_NVMe Cable,Q3FY22,61950
CSPBU_NVMe Cable,Q4FY21,72481
CSPBU_NVMe Cable,Q4FY22,48268
CSPBU_Node,Q1FY22,3691
CSPBU_Node,Q2FY21,2346
CSPBU_Node,Q2FY22,5608
CSPBU_Node,Q3FY21,112371
CSPBU_Node,Q3FY22,4709
CSPBU_Node,Q4FY21,1675
CSPBU_Node,Q4FY22,5526
CSPBU_Nvme,Q1FY22,161529
CSPBU_Nvme,Q2FY21,88428
CSPBU_Nvme,Q2FY22,134991
CSPBU_Nvme,Q3FY21,434986
CSPBU_Nvme,Q3FY22,130871
CSPBU_Nvme,Q4FY21,8073212
CSPBU_Nvme,Q4FY22,216374
CSPBU_RAID Doc,Q1FY22,142727
CSPBU_RAID Doc,Q2FY21,112197
CSPBU_RAID Doc,Q2FY22,141290
CSPBU_RAID Doc,Q3FY21,114610
CSPBU_RAID Doc,Q3FY22,109630
CSPBU_RAID Doc,Q4FY21,139361
CSPBU_RAID Doc,Q4FY22,26162
CSPBU_RAID cables,Q1FY22,5244
CSPBU_RAID cables,Q2FY21,2559
CSPBU_RAID cables,Q2FY22,4276
CSPBU_RAID cables,Q3FY21,2580
CSPBU_RAID cables,Q3FY22,3695
CSPBU_RAID cables,Q4FY21,4312
CSPBU_RAID cables,Q4FY22,2613
CSPBU_Rack,Q1FY22,20006
CSPBU_Rack,Q2FY21,14230
CSPBU_Rack,Q2FY22,18855
CSPBU_Rack,Q3FY21,1862459
CSPBU_Rack,Q3FY22,16481
CSPBU_Rack,Q4FY21,14408
CSPBU_Rack,Q4FY22,12892
CSPBU_Rack HX,Q1FY22,1641
CSPBU_Rack HX,Q2FY21,1203
CSPBU_Rack HX,Q2FY22,1853
CSPBU_Rack HX,Q3FY21,1300
CSPBU_Rack HX,Q3FY22,1967
CSPBU_Rack HX,Q4FY21,1221
CSPBU_Rack HX,Q4FY22,1097
CSPBU_SATA Drive,Q1FY22,108803
CSPBU_SATA Drive,Q2FY21,83097
CSPBU_SATA Drive,Q2FY22,120419
CSPBU_SATA Drive,Q3FY21,131226
CSPBU_SATA Drive,Q3FY22,136291
CSPBU_SATA Drive,Q4FY21,85524
CSPBU_SATA Drive,Q4FY22,82049
CSPBU_SSD,Q1FY22,14234
CSPBU_SSD,Q2FY21,19477
CSPBU_SSD,Q2FY22,9093
CSPBU_SSD,Q3FY21,15979
CSPBU_SSD,Q3FY22,36854
CSPBU_SSD,Q4FY21,14934
CSPBU_SSD,Q4FY22,6649
CSPBU_VIC Card,Q1FY22,39234
CSPBU_VIC Card,Q2FY21,23884
CSPBU_VIC Card,Q2FY22,33674
CSPBU_VIC Card,Q3FY21,27372
CSPBU_VIC Card,Q3FY22,33054
CSPBU_VIC Card,Q4FY21,2696560
CSPBU_VIC Card,Q4FY22,25808
CVEBU_AIOCD,Q1FY22,540788
CVEBU_AIOCD,Q2FY21,34703
CVEBU_AIOCD,Q2FY22,36182
CVEBU_AIOCD,Q3FY21,38334
CVEBU_AIOCD,Q3FY22,11892
CVEBU_AIOCD,Q4FY21,2074486
CVEBU_AIOCD,Q4FY22,10871
CVEBU_Camera,Q1FY22,59910
CVEBU_Camera,Q2FY21,53215
CVEBU_Camera,Q2FY22,54972
CVEBU_Camera,Q3FY21,57207
CVEBU_Camera,Q3FY22,59163
CVEBU_Camera,Q4FY21,46123
CVEBU_Camera,Q4FY22,49642
CVEBU_Codec,Q1FY22,21783
CVEBU_Codec,Q2FY21,19009
CVEBU_Codec,Q2FY22,23173
CVEBU_Codec,Q3FY21,18200
CVEBU_Codec,Q3FY22,21776
CVEBU_Codec,Q4FY21,15337
CVEBU_Codec,Q4FY22,15583
CVEBU_Microphone,Q1FY22,1360
CVEBU_Microphone,Q2FY21,1524
CVEBU_Microphone,Q2FY22,1388
CVEBU_Microphone,Q3FY21,1473
CVEBU_Microphone,Q3FY22,1288
CVEBU_Microphone,Q4FY21,1249
CVEBU_Microphone,Q4FY22,1002
CVEBU_Room Kit,Q1FY22,52160
CVEBU_Room Kit,Q2FY21,32044
CVEBU_Room Kit,Q2FY22,48605
CVEBU_Room Kit,Q3FY21,34589
CVEBU_Room Kit,Q3FY22,45040
CVEBU_Room Kit,Q4FY21,30522
CVEBU_Room Kit,Q4FY22,36917
CVEBU_SB Display,Q1FY22,1397
CVEBU_SB Display,Q2FY21,1085
CVEBU_SB Display,Q2FY22,2390
CVEBU_SB Display,Q3FY21,1206
CVEBU_SB Display,Q3FY22,1835
CVEBU_SB Display,Q4FY21,1129
CVEBU_SB Display,Q4FY22,2425
CVEBU_TP Display,Q1FY22,1347
CVEBU_TP Display,Q2FY21,1862
CVEBU_TP Display,Q2FY22,1228
CVEBU_TP Display,Q3FY21,1869
CVEBU_TP Display,Q3FY22,999
CVEBU_TP Display,Q4FY21,1323
CVEBU_TP Display,Q4FY22,802
EBBU_Fixed,Q1FY22,18369
EBBU_Fixed,Q2FY21,12037
EBBU_Fixed,Q2FY22,28833
EBBU_Fixed,Q3FY21,15621
EBBU_Fixed,Q3FY22,24438
EBBU_Fixed,Q4FY21,17483
EBBU_Fixed,Q4FY22,17675
EBBU_Main12 Port,Q1FY22,2352
EBBU_Main12 Port,Q2FY21,1425
EBBU_Main12 Port,Q2FY22,2220
EBBU_Main12 Port,Q3FY21,1347
EBBU_Main12 Port,Q3FY22,2960
EBBU_Main12 Port,Q4FY21,1075
EBBU_Main12 Port,Q4FY22,2512
EBBU_Main16 Port,Q1FY22,5347
EBBU_Main16 Port,Q2FY21,3729
EBBU_Main16 Port,Q2FY22,4499
EBBU_Main16 Port,Q3FY21,3937
EBBU_Main16 Port,Q3FY22,3769
EBBU_Main16 Port,Q4FY21,4433
EBBU_Main16 Port,Q4FY22,3375
EBBU_Main24 Port,Q1FY22,14030
EBBU_Main24 Port,Q2FY21,10780
EBBU_Main24 Port,Q2FY22,15907
EBBU_Main24 Port,Q3FY21,10100
EBBU_Main24 Port,Q3FY22,15654
EBBU_Main24 Port,Q4FY21,10508
EBBU_Main24 Port,Q4FY22,14531
EBBU_Modular,Q1FY22,1955
EBBU_Modular,Q2FY21,1353
EBBU_Modular,Q2FY22,1793
EBBU_Modular,Q3FY21,1644
EBBU_Modular,Q3FY22,1736
EBBU_Modular,Q4FY21,1464
EBBU_Modular,Q4FY22,1297
ECBU_Director  ,Q1FY22,379
ECBU_Director  ,Q2FY21,371
ECBU_Director  ,Q2FY22,369
ECBU_Director  ,Q3FY21,350
ECBU_Director  ,Q3FY22,569
ECBU_Director  ,Q4FY21,296
ECBU_Director  ,Q4FY22,1172
ECBU_High End,Q1FY22,289
ECBU_High End,Q2FY21,404
ECBU_High End,Q2FY22,272
ECBU_High End,Q3FY21,289
ECBU_High End,Q3FY22,929
ECBU_High End,Q4FY21,350
ECBU_High End,Q4FY22,369
ECBU_IBM Switch,Q1FY22,201
ECBU_IBM Switch,Q2FY21,192
ECBU_IBM Switch,Q2FY22,143
ECBU_IBM Switch,Q3FY21,230
ECBU_IBM Switch,Q3FY22,233
ECBU_IBM Switch,Q4FY21,183
ECBU_IBM Switch,Q4FY22,189
ECBU_Low End,Q1FY22,2506
ECBU_Low End,Q2FY21,2684
ECBU_Low End,Q2FY22,1946
ECBU_Low End,Q3FY21,2655
ECBU_Low End,Q3FY22,2352
ECBU_Low End,Q4FY21,2453
ECBU_Low End,Q4FY22,1230
ECBU_Mid End,Q1FY22,1465
ECBU_Mid End,Q2FY21,773
ECBU_Mid End,Q2FY22,1128
ECBU_Mid End,Q3FY21,868
ECBU_Mid End,Q3FY22,1860
ECBU_Mid End,Q4FY21,864
ECBU_Mid End,Q4FY22,929
INSBU_Fixed_N3500 10G Fiber,Q1FY22,2444
INSBU_Fixed_N3500 10G Fiber,Q2FY21,1447
INSBU_Fixed_N3500 10G Fiber,Q2FY22,1880
INSBU_Fixed_N3500 10G Fiber,Q3FY21,1537
