Platform,qtr,Forecast_6m
8k_Chassis,Q2FY21,3924.0
8k_Fabric Card,Q2FY21,1313.0
8k_Fixed Chassis,Q2FY21,187.0
8k_Line Card,Q2FY21,647.0
8k_Modular Chassis,Q2FY21,375.0
ACCESSORY,Q2FY21,635027.0
ASR9000 Modular,Q2FY21,2721.0
ASSEMBLY,Q2FY21,5826.0
C9400 Line Card,Q2FY21,64701.0
C9400 SUP Card,Q2FY21,22430.0
C9400_10LCModular,Q2FY21,6473.0
C9400_4LCModular,Q2FY21,1076.0
C9400_7LCModular,Q2FY21,8782.0
C9600- Line Cards,Q2FY21,6194.0
C9600-SUP Card,Q2FY21,3345.0
CABLE,Q2FY21,213.0
CSPBU GPU,Q2FY21,5609.0
CSPBU_Blade,Q2FY21,39642.0
CSPBU_Blade HX,Q2FY21,3133.0
CSPBU_Blade_Chassis,Q2FY21,4662.0
CSPBU_CPU,Q2FY21,191475.0
CSPBU_DOC,Q2FY21,463106.0
CSPBU_Fabric Interconnect,Q2FY21,6266.0
CSPBU_Fiber Channel over Etherne,Q2FY21,314.0
CSPBU_HDD,Q2FY21,306165.0
CSPBU_Interposer board,Q2FY21,44404.0
CSPBU_L2 Daughter Card,Q2FY21,351835.0
CSPBU_Memory 128GB,Q2FY21,14135.0
CSPBU_Memory 16GB,Q2FY21,185993.0
CSPBU_Memory 256GB,Q2FY21,720.0
CSPBU_Memory 32GB,Q2FY21,358247.0
CSPBU_Memory 64GB,Q2FY21,376892.0
CSPBU_NVMe Cable,Q2FY21,84626.0
CSPBU_Node,Q2FY21,5668.0
CSPBU_Nvme,Q2FY21,184951.0
CSPBU_RAID Doc,Q2FY21,231702.0
CSPBU_RAID cables,Q2FY21,6865.0
CSPBU_Rack,Q2FY21,29382.0
CSPBU_Rack HX,Q2FY21,2210.0
CSPBU_SATA Drive,Q2FY21,162873.0
CSPBU_SSD,Q2FY21,42188.0
CSPBU_VIC Card,Q2FY21,50716.0
CVEBU_AIOCD,Q2FY21,176916.0
CVEBU_Camera,Q2FY21,109478.0
CVEBU_Codec,Q2FY21,40204.0
CVEBU_Microphone,Q2FY21,3019.0
CVEBU_Room Kit,Q2FY21,77690.0
CVEBU_SB Display,Q2FY21,3081.0
CVEBU_TP Display,Q2FY21,4132.0
EBBU_Fixed,Q2FY21,23177.0
EBBU_Main12 Port,Q2FY21,3478.0
EBBU_Main16 Port,Q2FY21,7860.0
EBBU_Main24 Port,Q2FY21,19500.0
EBBU_Modular,Q2FY21,15981.0
ECBU_Director  ,Q2FY21,734.0
ECBU_High End,Q2FY21,774.0
ECBU_IBM Switch,Q2FY21,329.0
ECBU_Low End,Q2FY21,4749.0
ECBU_Mid End,Q2FY21,1656.0
INSBU_Fixed_N3500 10G Fiber,Q2FY21,3003.0
INSBU_Fixed_N3K/9K 100G Fiber,Q2FY21,24733.0
INSBU_Fixed_N3K/9K 1G,Q2FY21,97837.0
INSBU_Fixed_N3k/9K 10/25G,Q2FY21,51485.0
INSBU_Fixed_N9300 10G Copper,Q2FY21,15011.0
INSBU_N3000 Modular,Q2FY21,41710013.0
INSBU_N3K/9K 100G Fiber,Q2FY21,66.0
INSBU_N9500 Modular,Q2FY21,2396.0
IOTBU_Connected Grid Routers,Q2FY21,3741.0
IOTBU_Connected Grid Switch,Q2FY21,2825.0
IOTBU_Embedded Service Switch,Q2FY21,6789.0
IOTBU_Embedded Services Routers,Q2FY21,4720.0
IOTBU_Embeded Service AP,Q2FY21,75.0
IOTBU_Industrial Ethernet Switch,Q2FY21,103620.0
IOTBU_Industrial Wrls AP,Q2FY21,3699.0
IOTBU_Integrated Services Router,Q2FY21,24607.0
IOTBU_Rockwell IOT Switching,Q2FY21,16648.0
Modular_Attach_ 2.4T,Q2FY21,139016.0
Modular_Attach_ 3.6T,Q2FY21,8645.0
Modular_Attach_ 7.2T,Q2FY21,107.0
Modular_Attach_ 800G,Q2FY21,8.0
Modular_Attach_ 9.6T,Q2FY21,101435.0
Modular_Attach_ 900G,Q2FY21,282.0
NCS_Fixed - 2.4T,Q2FY21,1065.0
NCS_Fixed - 3.6T,Q2FY21,9314.0
NCS_Fixed - 800G,Q2FY21,11338.0
NCS_Fixed - 900G,Q2FY21,3248.0
NCS_System,Q2FY21,1486.0
NGFWBU_Adopters,Q2FY21,923.0
NGFWBU_High End,Q2FY21,3213.0
NGFWBU_Low End,Q2FY21,28009.0
NGFWBU_Mid End,Q2FY21,108708.0
NGFWBU_Netmod,Q2FY21,80432.0
NGFWBU_Ultra High End,Q2FY21,1165.0
PABU_ME Legacy,Q2FY21,562.0
PABU_XE Fixed,Q2FY21,42229.0
PABU_XE Fixed_Attach,Q2FY21,455.0
PABU_XE Modular,Q2FY21,3031.0
PABU_XE Modular_Attach,Q2FY21,18914.0
PABU_XR Fixed,Q2FY21,18981.0
PABU_XR Modular,Q2FY21,1977.0
PABU_XR Modular_Attach,Q2FY21,20759.0
Power Supply,Q2FY21,452449.0
SBTGBU_Managed,Q2FY21,429786.0
SBTGBU_Smart switch,Q2FY21,331684.0
SBTGBU_Stackable Managed,Q2FY21,6293.0
SBTGBU_Un Managed,Q2FY21,1270551.0
SRGBU_AccessRouting_Fixed,Q2FY21,552462.0
SRGBU_AccessRouting_Modular,Q2FY21,150785.0
SRGBU_Edge - Light Modular,Q2FY21,10697.0
SRGBU_Edge-Modular,Q2FY21,831.0
UABU_Fixed_12 PortHigh End,Q2FY21,1040.0
UABU_Fixed_12 PortLow End,Q2FY21,30570.0
UABU_Fixed_16 PortLow End,Q2FY21,52662.0
UABU_Fixed_16 PortUltra Low,Q2FY21,183710.0
UABU_Fixed_24 PortHigh End,Q2FY21,216306.0
UABU_Fixed_24 PortLow End,Q2FY21,637765.0
UABU_Fixed_24 PortMid End,Q2FY21,114347.0
UABU_Fixed_24 PortUltra Low,Q2FY21,265035.0
UABU_Fixed_4 PortExpress Switch,Q2FY21,45205.0
UABU_Fixed_48 PortHigh End,Q2FY21,258917.0
UABU_Fixed_48 PortLow End,Q2FY21,751927.0
UABU_Fixed_48 PortMid End,Q2FY21,269536.0
UABU_Fixed_48 PortUltra Low,Q2FY21,10448.0
UABU_Fixed_8 PortLow End,Q2FY21,149565.0
UABU_Fixed_8 PortPON Switch,Q2FY21,1631.0
